ID,ESTABELECI,ENDERECO,LAT,LONG,BAIRRO
1,BURGO PAULISTA -AMA ESPECIALIDADES,"JOSE SILVA ALCANTARA FILHO,R,1031",-23522787,-46490063,BURGO PAULISTA
2,CAPAO REDONDO - AMA ESPECIALIDADES,"SANTANA,COM,AV,774",-23673297,-46773393,JD. BOA ESPERANCA
3,"HUMBERTO PASCALI,DR STA CECILIA - AMA ESPECIALIDADES","VITORINO CARMILO,R,599",-23531575,-46651898,CAMPOS ELISEOS
4,ITAQUERA-AMA ESPECIALIDADES,"AMERICO SALVADOR NOVELLI,R,265",-23538945,-46454974,ITAQUERA
5,JD GUAIRACA - AMA ESPECIALIDADES,"ERVA IMPERIAL,R,501",-23599363,-46539564,CID CONTINENTAL
6,JD ICARAI I (QUINTANA) -AMA ESPECIALIDADES,"ROQUE DO PARAGUASSU,R,190",-23743565,-46704938,V QUINTANA
7,JD PIRAJUSSARA-AMA ESPECIALIDADES,"AMADEU DA SILVA SAMELO,R,423",-23630816,-46766027,JARDIM MARTINICA
8,JD SAO LUIS - AMA ESPECIALIDADES,"LUIS ANTONIO VERNEY,R,98",-23659403,-46743017,JD S+O LUIS
9,JD TIETE II - AMA ESPECIALIDADES,"AUGUSTO FERREIRA RAMOS,R,9",-23586723,-46491950,JD TIETE
10,PERUS - AMA ESPECIALIDADES,"MOGEIRO,R,207",-23408249,-46757991,PERUS
11,PQ PERUCHE-AMA ESPECIALIDADES,"JOSE RANGEL DE CAMARGO,R,500",-23497448,-46654057,PQ PERUCHE
12,V BERTIOGA - AMA ESPECIALIDADES,"FAROL PAULISTANO,R,410",-23570175,-46575142,JD ITALIA
13,V CONSTANCIA -AMA ESPECIALIDADES,"HERMENEGILDO MARTINI,R,S/N",-23672783,-46664681,V CONSTANCIA
14,V DAS MERCES- AMA ESPECIALIDADES,"NOSSA SENHORA DAS MERCES,R,1315",-23629079,-46604422,V DAS MERCES
15,V IZOLINA MAZZEI-AMA ESPECIALIDADES,"ORLANDO RIBEIRO DANTAS,R,154",-23492830,-46600559,V IZOLINA MAZZEI
16,VILA ZATT - AMA ESPECIALIDADES,"MONSENHOR MANOEL GOMES,R,654",-23476568,-46710942,PIRITUBA
17,ALEXANDRE KALIL - AE,"CECI,AV,2235",-23628113,-46645846,PLANALTO PAULISTA
18,AMBULATORIO MULTI PROF CRIANCA ADOLESCENTE - PROGRAMA EQUILIBRIO,"ANHAGUERA,R,484",-23523016,-46651378,BARRA FUNDA
19,"ARMANDO DE AGUIAR PUPO,DR - AE","NOVA CANTAREIRA,AV,1476",-23482098,-46612505,TUCURUVI
20,CCI - CENTRO DE CONTROLE DE INTOXICACOES,"FRANCISCO DE PAULA QUINTANILHA RIBEIRO, AV, 860",-23652993,-46645012,JABAQUARA
21,CENTRO - AE,"CARLOS COMENALLE,R,32",-23561088,-46654078,BELA VISTA
22,CENTRO DE CONTROLE DE INTOXICACOES - CCI,"FRANCISCO DE PAULA Q RIBEIRO,AV,860",-23652993,-46645012,JABAQUARA
23,CESAR ANTUNES DA ROCHA-AE(PEDREIRA),"CORREGO AZUL,R,433",-23695249,-46659460,PEDREIRA
24,CONSOLACAO-AE,"MARTINS FONTES,R,208",-23548579,-46643979,CONSOLACAO
25,FERNANDO RAMIREZ CRUZ - AE,"BRIG GAVI´?¢O PEIXOTO, R.727",-23524112,-46716684,LAPA
26,"FLAVIO GIANOTTI,DR-AE","XAVIER DE ALMEIDA,R,210",-23587114,-46608202,IPIRANGA
27,FREGUESIA DO O-AE,"BONIFACIO CUBAS,R,304",-23499520,-46693656,FREGUESIA DO O
28,INTERLAGOS - AMB MED ESPEC,"ARTHUR NASCIMENTO JR,R,120",-23702945,-46691259,JD SATELITE
29,"ITALO DOMIGOS LE VOCCI,DR-AE (MOOCA)","MARINA CRESPI,R,91",-23555510,-46603666,MOOCA
30,JD CLIPPER-AE,"CARLOS PEZZOLO,DR,S/N",-23722254,-46704621,PQ ESMERALDA
31,JD DOS PRADOS - AME AMB MED ESPEC,"SANTANA,R,275",-23671108,-46681892,VILA S+O PEDRO
32,JD S CARLOS - AE,"MACABU,R,35",-23557468,-46412487,JD. SAO CARLOS
33,JOSE BONIFACIO IV-AE,"ANDREAS AMON,R,150",-23553169,-46434612,COHAB JOSE BONIFACIO
34,LUIZ B BARATA HELIOPOLIS - AE,"ALMIRANTE DELAMARE,AV,1534",-23606818,-46592704,IPIRANGA
35,MARIA ZELIA - AMBULATORIO DE ESPECIALIDADES,"JEQUITINHONHA,R,360",-23530564,-46598278,CATUMBI
36,"MILTON ALDRED,DR-AE","SAO CAETANO DO SUL,R,381",-23755005,-46685595,GRAJAU
37,PERUS-AE,"JULIO DE OLIVEIRA,R,80",-23403315,-46737938,V FLAMENGO
38,PIRITUBA - AE,"MENOTTI LAUDISIO,AV,100",-23484117,-46727089,PIRITUBA
39,SAPOPEMBA - AE,"JOAO LOPES DE LIMA,R,1151",-23611267,-46492813,JD. SAPOPEMBA
40,TITO LOPES DA SILVA - AE,"ANTONIO GAMA DE CERQUEIRA,PROF,R,647",-23496403,-46440472,V AMERICANA
41,V PARANAGUA-AE,"JOSE GOES NOGUEIRA,R,70",-23494477,-46473857,V  PARANAGUA
42,V PRUDENTE - AE,"CENTENARIO DE V PRUDENTE,PCA,108",-23581804,-46582361,V  PRUDENTE
43,PERUS CASA VIVA - AE SM,"ANTONIO MAIA,R,827",-23405738,-46755767,PERUS
44,VILA MARIA - AME DE PSIQUIATRIA,"GUILHERME COTCHING,AV,1600",-23515417,-46586877,VILA MARIA
45,C R HOMEOPATIA E MEDICINA TRADICIONAL,"JOAO BATISTUSSI,R,55",-23596913,-46623145,CONJ DOS BANCARIOS
46,APOIO DIAG/HORA CERTA ITAIM PAULISTA,"MARECHAL TITO,AV,6035",-23491742,-46388369,ITAIM PAULISTA
47,BURGO PAULISTA -APOIO DIAG/AMA ESPECIALIDADES,"JOSE SILVA ALCANTARA FILHO,R,1031",-23522787,-46490063,BURGO PAULISTA
48,JD SAO LUIS - APOIO DIAG,"LUIS ANTONIO VERNEY,R,98",-23659403,-46743017,JD S+O LUIS
49,V IZOLINA MAZZEI-APOIO DIAGNOSTICO,"ORLANDO RIBEIRO DANTAS,R,154",-23492830,-46600559,V IZOLINA MAZZEI
50,V N SRA APARECIDA-APD,"PAULINO SERQUEIRA,R,01",-23533676,-46442459,ITAQUERA
51,AGUA RASA-AMA,"SERRA DE JAIRE,R,1480",-23553466,-46579509,AGUA RASA
52,AGUIA DE HAIA - AMA,"TANTAS PALAVRAS,R,59",-23522008,-46469079,COHAB -GUIA DE HAIA
53,ALEXANDRE ZAIO-AMA,"ALVES MALDONADO,R,128",-23542114,-46500964,VL. NHOCUN+
54,AMERICANOPOLIS-AMA,"CIDADE DE SANTOS,R,46",-23664546,-46643606,JABAQUARA
55,ANHANGUERA - AMA,"MARCELA ALVES DE CASSIA,R,175",-23488618,-46758672,JD JARAGUA
56,ANTONIO B DE OLIVEIRA - AMA VILA PREL,TEREZA MAIA PINTO,-23647799,-46753702,VILA PREL
57,"ARTHUR RIBEIRO SABOYA,DR-AMA (JABAQUARA)","FRANCISCO DE PAULA QUINTANILHA RIBEIRO,AV,860",-23652993,-46645012,JABAQUARA
58,BORACEA - AMA,"RIBEIRO DE ALMEIDA,R,14",-23524329,-46651352,BARRA FUNDA
59,CANGAIBA-AMA DR. CARLOS GENTILE MELO,"CANGAIBA,AV,3722",-23504946,-46520533,CANGAIBA
60,CAPAO REDONDO - AMA,"SANTANA,COM,AV,774",-23673297,-46773393,JD. BOA ESPERANCA
61,CASTRO ALVES-AMA,"CADERNO DE VIAGEM,R,55",-23579958,-46404006,CASTRO ALVES
62,CESAR ANTUNES DA ROCHA-AMA (PEDREIRA),"CORREGO AZUL,R,433",-23695249,-46659460,PEDREIRA
63,CIDADE LIDER I-AMA,"FRANCISCO MUNHOZ F,DR,AV,379",-23554316,-46464835,CIDADE LIDER
64,CITY JARAGUA - AMA,"TAIPAS,ESTRADA DE (ESQ. R PAULO ARENTINO)1648",-23441453,-46734104,JARAGUA
65,COMPLEXO PRATES - AMA,"R. PRATES, 1101",-23523893,-46633950,BOM RETIRO
66,CUPECE - AMA,"SANTA CATARINA,AV,1523",-23647281,-46661825,JABAQUARA
67,ELISIO TEIXEIRA LEITE- AMA,"JOAO AMADO COUTINHO,R,400",-23445946,-46713901,JARAGUA
68,ERMELINO MATARAZZO - AMA,"RODRIGO DE BRUM,AL,1989",-23499140,-46472507,V. PARANAGUA
69,FAZENDA DO CARMO - AMA,"FRANCISCO CARDOSO JR,R,10",-23564540,-46417847,CIDADE TIRADENTES
70,"FLAVIO GIANOTTI,DR-AMA","XAVIER DE ALMEIDA,R,210",-23587114,-46608202,IPIRANGA
71,"GERALDO S FERREIRA,DR-AMA","ARMANDO DE ARRUDA PEREIRA,ENG,AV,2944",-23651657,-46637560,PQ JABAQUARA
72,GUAIANAZES I - AMA,"OSVALDO DE OLIVEIRA,PROF,AV,610",-23542382,-46430727,JD. HELENA
73,"HERMENEGILDO MORBIN JR,DR- JD INDEPENDENCIA AMA","PLANALTO DA CONQUISTA,R,80",-23588139,-46559831,JD. INDEPENDENCIA
74,HUMBERTO CERRUTI-AMA PQ. BOTURUSSU,"OLAVO EGIDIO SOUZA ARANHA,AV,630",-23501684,-46493347,V CISPER
75,HUMBERTO GASTAO BODRA - AMA JD. ELBA,"BATISTA FERGUSIO,R,1016",-23621178,-46509202,V  CARDOSO FRANCO
76,"IGNACIO PROENCA DE GOUVEA,DR - AMA","VITOANTONIO DEL VECCHIO,R,151",-23571284,-46589866,MOOCA
77,IPIRANGA - AMA,"XAVIER DE ALMEIDA,R,210",-23587215,-46608261,IPIRANGA
78,JD ALFREDO-AMA,"DINAR,R,51",-23681333,-46738671,JD ALFREDO
79,JD ANGELA - AMA,"GUAVIRITUBA,ESTR,49",-23685234,-46769257,V  SANTA LUCIA
80,JD BRASIL- AMA,"FRANCISCO PEIXOTO BIZERRA,R,400",-23485505,-46576336,JD BRASIL
81,JD BRASILIA-AMA,"OSVALDO VALLE CORDEIRO,AV,245",-23554330,-46491506,JD. BRASILIA
82,JD CAMPINAS-AMA,"PLEIADES,DAS,R,S/N",-23771107,-46712124,JD. MARIA AMALIACAMPINAS
83,JD CAMPOS - AMA,"CRESCENTE,R,97",-23511853,-46408536,COHAB NAZARE
84,JD CAPELA-AMA,"PAIVA MANSO,DE,BR,R,200",-23730480,-46789576,JD. CAPELA
85,JD CASTRO ALVES-AMA,"JOAO PAULO BARRETO,R,131",-23741988,-46686264,JD. CASTRO ALVES
86,JD CONQUISTA III-AMA,"SOMOS TODOS IGUAIS,R, 330",-23608385,-46452307,S+O MATEUS
